Symbol,CoinName
S8C,S88 Coin
SAFEX,SafeExchangeCoin
SAK,SharkCoin
SALT,Salt Lending
SAN,Santiment
SAND,BeachCoin
SANDG,Save and Gain
SAR,SARCoin
SAT2,Saturn2Coin
SBC,StableCoin
SBD,Steem Backed Dollars
SC,Siacoin
SCASH,SpaceCash
SCL,Social Nexus
SCN,Swiscoin
SCOR,Scorista
SCORE,Scorecoin
SCOT,Scotcoin
SCRPT,ScryptCoin
SCRT,SecretCoin
SCT,ScryptToken
SCT*,Soma
SDAO,Solar DAO
SDC,ShadowCash
SDP,SydPakCoin
SEEDS,SeedShares
SEL,SelenCoin
SEN,Sentaro
SENSE,Sense Token
SEQ,Sequence
SFC,Solarflarecoin
SFE,Safecoin
SFR,SaffronCoin
SH,Shilling
SHADE,ShadeCoin
SHIFT,Shift
SHLD,ShieldCoin
SHORTY,ShortyCoin
SHP,Sharpe Capital
SIB,SibCoin
SIFT,Smart Investment Fund Token
SIGT,Signatum
SIGU,Singular
SILK,SilkCoin
SJCX,StorjCoin
SKB,SkullBuzz
SKIN,Skincoin
SKR*,Skrilla Token
SKY,Skycoin
SLG,SterlingCoin
SLING,Sling Coin
SLM,SlimCoin
SLR,SolarCoin
SLS,SaluS
SMAC,Social Media Coin
SMART,SmartCash
SMC,SmartCoin
SMF,SmurfCoin
SMLY,SmileyCoin
SMNX,SMNX
SMSR,Samsara Coin
SMT,Social Media Market
SNC,SunContract
SND,Sandcoin
SNGLS,SingularDTV
SNK,Sosnovkino
SNM,SONM
SNOV,Snovio
SNRG,Synergy
SNS,Sense
SNT,Status Network Token
SOCC,SocialCoin
SOIL,SoilCoin
SOJ,Sojourn Coin
SOLE,SoleCoin
SONG,Song Coin
SOON,SoonCoin
SOUL,SoulCoin
SP,Sex Pistols
SPA,SpainCoin
SPACE,SpaceCoin
SPC,SpinCoin
SPEC,SpecCoin
SPHR,Sphere Coin
SPKTR,Ghost Coin
SPM,Supreme
SPN,Spoon
SPORT,SportsCoin
SPOTS,Spots
SPR,Spreadcoin
SPRTS,Sprouts
SPT,Spots
SPX,Specie
SQL,Squall Coin
SQP,SqPay
SRC,SecureCoin
SRC*,StarCredits
SRT,Scrypto
SSD,Sonic Screw Driver Coin
SSTC,SunShotCoin
SSV,SSVCoin
STA,Starta
STA*,Stakers
STALIN,StalinCoin
STAR,Starbase
STAR*,StarCoin
START,StartCoin
STCN,Stakecoin
STEEM,Steem
STEPS,Steps
STHR,Stakerush
STO,Save The Ocean
STOCKBET,StockBet
STORJ,Storj
STORM,Storm
STR*,StarCoin
STRAT,Stratis
STS,STRESScoin
STU,BitJob
STV,Sativa Coin
STX,Stox
SUB,Substratum Network
SUB*,Subscriptio
SUMO,Sumokoin
SUP,Supcoin
SUPER,SuperCoin
SUR,Suretly
SWARM,SwarmCoin
SWEET,SweetStake
SWIFT,BitSwift
SWING,SwingCoin
SWT,Swarm City Token
SXC,SexCoin
SYC,SynchroCoin
SYNC,SyncCoin
SYNX,Syndicate
SYS,SysCoin
TAAS,Token as a Service
TAB,MollyCoin
TAG,TagCoin
TAGR,Think And Get Rich Coin
TAJ,TajCoin
TAK,TakCoin
TAM,TamaGucci
TAP,TappingCoin
TAT,Tatiana Coin
TBCX,TrashBurn
TCR,Thecreed
TDFB,TDFB
TEAM,TeamUP
TEC,TeCoin
TECH,TechCoin
TEK,TekCoin
TELL,Tellurion
TENNET,Tennet
TER,TerraNovaCoin
TES,TeslaCoin
TESLA,TeslaCoilCoin
TFL,True Flip Lottery
TGC,TigerCoin
THC,The Hempcoin
THNX,ThankYou
THS,TechShares
TIA,Tianhe
TIC,TrueInvestmentCoin
TIE,Ties Network
TIME,Time
TIT,TitCoin
TIX,Blocktix
TKN,TokenCard  
TKN*,TrollTokens
TKR,CryptoInsight
TKS,Tokes
TKT,Crypto Tickets
TMC,TimesCoin
TME,Timereum
TMT,ToTheMoon
TNT,Tierion
TODAY,TodayCoin
TOM,Tomahawkcoin
TOR,TorCoin
TOT,TotCoin
TPAY,TrollPlay
TPG,Troll Payment
TRA,Tetra
TRC,TerraCoin
TRI,Triangles Coin
TRIBE,TribeToken
TRICK,TrickyCoin
TRIG,Trigger
TRIP,Trippki
TRK,TruckCoin
TRON,Positron
TRST,TrustCoin
TRUMP,TrumpCoin
TRUST,TrustPlus
TRV,Travel Coin
TRX,Tronix
TSE,TattooCoin
TTC,TittieCoin
TTT,Tap Project
TUR,Turron
TWIST,TwisterCoin
TWLV,Twelve Coin
TX,Transfer
TZC,TrezarCoin
U,Ucoin
UAEC,United Arab Emirates Coin
UBIQ,Ubiqoin
UBQ,Ubiq
UET,Useless Ethereum Token
UFO,UFO Coin
UIS,Unitus
ULTC,Umbrella
UMC,Umbrella Coin
UNAT,Unattanium
UNB,UnbreakableCoin
UNC,UnCoin
UNF,Unfed Coin
UNI,Universe
UNIFY,Unify
UNIKRN,UnikoinGold
UNIQ,Uniqredit
UNIT,Universal Currency
UNITS,GameUnits
UNITY,SuperNET
UNO,Unobtanium
UP,UpToken
UR,UR
URO,UroCoin
USC,Ultimate Secure Cash
USDE,UnitaryStatus Dollar
USDT,Tether
UTC,UltraCoin
UTH,Uther
UTIL,Utility Coin
UTK,Utrust
VAPOR,Vaporcoin
VDO,VidioCoin
VEC2,VectorCoin 2.0 
VEE,BLOCKv
VEG,BitVegan
VEN,Vechain
VERI,Veritaseum
VERSA,Versa Token
VIA,ViaCoin
VIB,Viberate
VIBE,VIBEHub
VIDZ,PureVidz
VIOR,ViorCoin
VIP,VIP Tokens
VIRAL,Viral Coin
VISIO,Visio
VIVO,VIVO Coin
VLT,Veltor
VLTC,VaultCoin
VMC,VirtualMining Coin
VNT,Veredictum
VOISE,Voise
VOLT,BitVolt
VOOT,VootCoin
VOX,Voxels
VOYA,Voyacoin
VPRC,VapersCoin
VRC,VeriCoin
VRM,Verium
VRP*,Prosense.tv
VRS,Veros
VSL,vSlice
VSX,Vsync
VTA,VirtaCoin
VTC,VertCoin
VTR,Vtorrent
VTX,Vertex
VTY,Victoriouscoin
VUC,Virta Unique Coin
VZT,Vezt
WABI,WaBi
WAN,Wanchain
WAND,WandX
WARP,WarpCoin
WASH,WashingtonCoin
WAVES,Waves
WAX,Worldwide Asset eXchange
WAY,WayCoin
WBB,Wild Beast Coin
WBTC,wBTC
WC,WhiteCoin
WCT,Waves Community Token
WDC,WorldCoin
WEALTH,WealthCoin
WEB,Webcoin
WEX,Wexcoin
WGC,World Gold Coin
WGO,WavesGO
WGR,Wagerr
WHL,WhaleCoin
WIC,Wi Coin
WILD,Wild Crypto
WINE,WineCoin
WINGS,Wings DAO
WINK,Wink
WISC,WisdomCoin
WISH,Wish Finance
WIZ,Crowdwiz
WMC,WMCoin
WNET,Wavesnode.net
WOLF,Insanity Coin
WOLK,Wolk
WOMEN,WomenCoin
WOP,WorldPay
WORM,HealthyWorm
WPR,WePower
WRC,Worldcore
WRC*,WarCoin
WRT,WRTcoin
WSX,WeAreSatoshi
WTC,Waltonchain
WTT,Giga Watt
WYR,Wyrify
X2,X2Coin
XAI,SapienceCoin
XAI*,AICoin
XAS,Asch
XAU,XauCoin
XAUR,Xaurum
XBC,BitcoinPlus
XBOT,SocialXbotCoin
XBS,Bitstake
XBTS,Beats
XBY,XtraBYtes
XC,X11 Coin
XCASH,Xcash
XCE,Cerium
XCI,Cannabis Industry Coin
XCJ,CoinJob
XCN,Cryptonite
XCO,XCoin
XCP,CounterParty
XCR,Crypti
XCRE,Creatio
XCS,CybCSec Coin
XCT,C-Bits
XCXT,CoinonatX
XDB,DragonSphere
XDE2,XDE II
XDN,DigitalNote 
XDP,DogeParty
XDQ,Dirac Coin
XEL,Elastic
XEM,NEM
XEN,XenixCoin
XFC,Forever Coin
XG,XG Sports
XGB,GoldenBird
XGR,GoldReserve
XHI,HiCoin
XID,Sphre AIR
XID*,International Diamond Coin
XIOS,Xios
XJO,JouleCoin
XLB,LibertyCoin
XLC,LeviarCoin
XLM,Stellar
XLR,Solaris
XMCC,MonacoCoin
XMG,Coin Magi
XMR,Monero
XMS,Megastake
XMY,MyriadCoin
XNA,DeOxyRibose
XNC,XenCoin
XNC*,Numismatic Collections
XNG,Enigma
XNN,Xenon
XNX,XanaxCoin
XP,XP
XPB,Pebble Coin
XPD,PetroDollar
XPH,PharmaCoin
XPM,PrimeCoin
XPO,Opair
XPOKE,PokeChain
XPRO,ProCoin
XPS,PoisonIvyCoin
XPY,PayCoin
XQN,Quotient
XRA,Ratecoin
XRB,RaiBlocks
XRE,RevolverCoin
XRED,X Real Estate Development
XRL,Rialto.AI
XRP,Ripple
XSEED,BitSeeds
XSI,Stability Shares
XSP,PoolStamp
XSPEC,Spectre
XST,StealthCoin
XT,ExtremeCoin
XTC,TileCoin
XTZ,Tezos
XUC,Exchange Union
XUC*,UCash
XUP,UPcoin
XVC,Vcash
XVE,The Vegan Initiative
XVG,Verge
XVP,VirtacoinPlus
XWC,WhiteCoin
XWT,World Trade Funds
XXX,XXXCoin
XZC,ZCoin
YAC,YAcCoin
YAY,YAYcoin
YBC,YbCoin
YES,YesCoin
YMC,YamahaCoin
YOC,YoCoin
YOVI,YobitVirtualCoin
YOYOW,Yoyow
Z2,Z2 Coin
ZAB,ZABERcoin
ZBC,Zilbercoin
ZCC,ZCC Coin
ZCL,ZClassic
ZEC,ZCash
ZECD,ZCashDarkCoin
ZED,ZedCoins
ZEIT,ZeitCoin
ZEN,ZenCash
ZENI,Zennies
ZER,Zero
ZET,ZetaCoin
ZET2,Zeta2Coin
ZLQ,ZLiteQubit
ZNA,Zenome
ZNE,ZoneCoin
ZNT,OpenZen
ZNY,BitZeny
ZOI,Zoin
ZOOM,ZoomCoin
ZRC,ZrCoin
ZRC*,ZiftrCoin
ZRX,0x
ZSC,Zeusshield
ZSE,ZSEcoin
ZUR,Zurcoin
ZXT,Zcrypt
ZYD,ZayedCoin
